Company,Website,Industry,Product/Service Category,Business Type,Employees Count,Revenue,Year Founded,BBB Rating,City,State,Company Phone,Company LinkedIn,Owner's First Name,Owner's Last Name,Owner's Title,Owner's LinkedIn,Owner's Phone Number,Owner's Email,Source,Lead Score
Rivera Inc,https://www.johnson.org/,Healthcare,EHR Systems,B2C,337,$50M+,1993,A,New Christinabury,PA,+1-748-770-7008x651,https://gregory.com/,Melanie,Duke,Contractor,https://www.rush.com/,(583)591-1804x92538,elizabethrobertson@yahoo.com,manual,33
Murphy-Weeks,http://www.allen.com/,Education,Accounting Tools,B2C,933,$50M+,2003,A+,North Philip,SC,284.742.6609,,Adrienne,Davidson,Osteopath,,+1-980-502-6788,,scraped,20
Ward and Sons,https://randall.com/,Healthcare,Accounting Tools,B2B,836,$1M-$10M,1994,A+,East Alicia,OH,+1-773-173-9402x086,,David,Hunter,Chartered legal executive (England and Wales),,763.918.7177x8018,,scraped,40
Reyes-Martinez,http://www.tapia.com/,Software Development,e-Learning,B2B2C,701,$10M-$50M,2009,B,Jeremiahmouth,DC,6901408141,https://www.vasquez.com/,Angela,Greer,Technical brewer,http://www.hopkins-evans.com/,115-192-1762x45946,,scraped,35
Mcintyre Ltd,http://lee.com/,Finance,EHR Systems,B2C,984,$10M-$50M,1996,NR,Kaitlynburgh,IL,983-588-8842x702,https://dougherty.com/,Courtney,Velazquez,Occupational therapist,http://www.butler.com/,(926)243-2603,salasrobert@gray.com,manual,35
Green Inc,http://www.alexander.org/,Healthcare,Mobile Apps,B2B,273,$1M-$10M,2016,B,Craigville,ID,001-416-614-7733x4115,,Anthony,Meyer,Retail banker,,+1-015-411-9408x16510,pnash@copeland.com,manual,40
"Singh, Rivera and Frost",https://mejia.com/,Software Development,e-Learning,B2C,811,$500K-$1M,2012,C,Desireeville,ND,329.066.8942x047,https://www.davis.info/,Alexis,Hayes,Primary school teacher,https://www.smith.com/,060-026-1969,,scraped,25
"Bailey, Norris and Jenkins",http://www.miller.com/,Finance,EHR Systems,B2B,867,$1M-$10M,2017,A+,Samanthaborough,NY,079.363.9357x20323,,Albert,Lee,Retail banker,,578.895.7607x3771,brownmark@gmail.com,manual,50
"Dixon, Gonzalez and Hoffman",https://maxwell-robinson.info/,Healthcare,EHR Systems,B2B2C,965,$500K-$1M,2001,NR,Port Heidi,NJ,(834)181-8619,http://www.powers.com/,William,Pollard,Media planner,https://chavez.com/,(581)472-2424x1876,erika23@hotmail.com,scraped,20
Phillips and Sons,https://www.burch-allen.com/,Software Development,e-Learning,B2B,925,$1M-$10M,2018,C,Lake Alexandra,IN,001-122-693-8584x32835,https://kelly-elliott.com/,Sandra,Turner,Ecologist,https://le.org/,414.246.6043x07677,samuel35@west-bradshaw.info,manual,55
"Spencer, Patterson and Gardner",http://mckinney.info/,Finance,CRM,B2C,204,$10M-$50M,2002,A,Troymouth,MT,+1-009-428-8840x2005,,Samantha,Cherry,Probation officer,,(019)220-0599,troy24@gmail.com,manual,38
"Kerr, Davis and Weeks",https://www.garcia.org/,Real Estate,CRM,B2C,218,$10M-$50M,1997,B,Simmonsport,NJ,001-307-158-8603,http://www.gonzalez.com/,Brittany,Webb,Mudlogger,https://gross.org/,(972)655-3675,,scraped,25
Arnold-Anderson,https://www.richardson.info/,Software Development,CRM,B2B2C,359,$500K-$1M,2009,A+,West Williechester,WI,+1-292-134-1666x958,https://www.morgan-moore.info/,Amy,Hoffman,Adult guidance worker,http://perez.biz/,589-036-0919x58239,,manual,40
Douglas Ltd,http://www.anderson-wallace.com/,Education,Custom Software,B2C,506,$500K-$1M,2000,A+,Hardyview,MD,+1-247-889-4202x972,https://www.brown.net/,Preston,Smith,Secondary school teacher,http://www.booker.com/,001-493-437-6215,qharrison@braun.info,scraped,30
Johnson Inc,https://www.silva.com/,Finance,CRM,B2B2C,557,$1M-$10M,1998,A,East Danielshire,KS,001-436-881-6462,,James,Watson,Multimedia specialist,,502.483.6634x617,fbenjamin@yahoo.com,manual,38
Simpson-Ramirez,https://www.patterson.net/,Education,CRM,B2C,793,$50M+,1998,NR,Lake Katelynland,MO,+1-323-041-5655,,Jeanette,Golden,"Engineer, electrical",,001-856-429-6034x4565,,scraped,10
"Barnett, Burton and Ellis",http://www.wagner.com/,Software Development,EHR Systems,B2C,911,$500K-$1M,2013,B,South Kristinaport,MN,5652482374,http://hart.org/,Steven,Ward,"Scientist, research (physical sciences)",https://www.nguyen.com/,(838)666-3870x320,stewartlarry@delacruz.com,scraped,30
Freeman Ltd,http://morgan-martinez.info/,Real Estate,CRM,B2B,848,$1M-$10M,2018,B,West Cynthiaton,LA,036-893-8524,,Kelly,Garza,Dietitian,,(787)172-1394,garciawillie@yahoo.com,manual,40
"Griffith, Hammond and Cruz",https://www.bennett.net/,Real Estate,CRM,B2B,961,$500K-$1M,2016,C,Edwardborough,FL,091-202-9666,https://www.carter.com/,Mindy,Johnson,Media planner,https://www.chavez.biz/,001-341-180-5881,wbarajas@cole-clements.com,scraped,30
"Hardy, Gonzales and Smith",http://zamora.com/,Software Development,e-Learning,B2B2C,189,$1M-$10M,2009,NR,Mccormickberg,MO,898.669.1791,https://holden-brady.org/,Patrick,Singleton,Barrister,https://henry.info/,2023737942,jeffery80@gmail.com,manual,45
Williamson-Shannon,https://www.elliott.com/,Finance,EHR Systems,B2C,301,$10M-$50M,2014,A,Lisafort,TX,001-687-171-2567x4859,,Debra,Jones,Automotive engineer,,001-833-485-5592x33152,,manual,33
Morris LLC,https://www.benitez-wade.com/,Software Development,EHR Systems,B2B2C,852,$10M-$50M,2016,NR,North Thomasfort,SC,(286)470-7920x3943,,Karen,Jackson,"Engineer, land",,001-363-024-7037x411,guzmankathy@martin-reynolds.biz,manual,40
Benson Inc,https://www.perry.com/,Real Estate,CRM,B2B,58,$1M-$10M,1995,A+,Lake Glen,HI,001-933-156-4612,,Steven,Miller,Community arts worker,,(514)179-2230x20196,,manual,50
Thomas-Fleming,https://www.watson.com/,Finance,e-Learning,B2B,373,$1M-$10M,2008,B,Knightmouth,CT,280-415-7122x9188,https://www.moody.com/,Kevin,Archer,"Education officer, environmental",https://oliver.org/,(001)100-5220,combsjoshua@gmail.com,scraped,40
Hawkins Inc,https://www.spencer-adams.com/,Finance,Mobile Apps,B2C,406,$1M-$10M,2015,A,Parkerchester,FL,586-677-8120x15112,,James,Rocha,Television floor manager,,+1-425-664-8475x5705,pamelastewart@yahoo.com,manual,38
Pineda PLC,http://www.stewart-mendoza.info/,Software Development,Custom Software,B2B2C,462,$50M+,2022,A+,West Renee,KY,563-019-1408,http://www.ayers.com/,Angela,Pitts,Senior tax professional/tax inspector,https://cook-archer.biz/,(106)945-6496x05664,dennissuarez@yahoo.com,scraped,35
Scott-Sheppard,https://www.harris.com/,Real Estate,Accounting Tools,B2B2C,778,$10M-$50M,2006,A+,Port Nathaniel,KY,(143)807-4634x492,,Kristin,Sharp,Counselling psychologist,,369.721.1503x34759,,manual,35
"Patton, Johnson and Huerta",http://www.cook.com/,Retail,e-Learning,B2B,713,$50M+,1994,C,Patrickport,DC,+1-773-446-8284x766,http://www.williams-johnson.biz/,Julie,Miller,Armed forces operational officer,https://page.com/,050-915-8073,bwilliams@gmail.com,manual,35
"Dunn, Foster and Reilly",http://riley.info/,Education,CRM,B2B2C,86,$500K-$1M,2019,C,West Christopher,GA,(303)446-5610,,Richard,Harrington,Health promotion specialist,,689.142.8341x95943,,scraped,15
Nguyen-Johnson,https://www.valencia-eaton.com/,Finance,Accounting Tools,B2C,446,$10M-$50M,2013,A+,North Thomasmouth,MO,258-832-8294x54733,http://lewis.net/,Raymond,Thomas,Tourist information centre manager,https://baker-graham.org/,2059416708,,manual,40
"Chambers, Burns and Espinoza",https://www.bell-robbins.com/,Education,Custom Software,B2C,166,$500K-$1M,1995,C,North Tracey,IL,(525)696-4411,,George,Marquez,Recruitment consultant,,001-760-193-6636x578,,scraped,10
Dougherty-Allen,https://www.cook.info/,Finance,Custom Software,B2B2C,797,$500K-$1M,2004,B,New Sarah,AK,(933)655-2031,,Melanie,Baker,Video editor,,+1-520-489-4686,,manual,15
Andrews Inc,http://www.cline-carter.info/,Education,EHR Systems,B2B,853,$50M+,2013,A,Brownchester,DC,+1-851-725-5115x560,,Hunter,Mills,Paediatric nurse,,281.861.2685x644,,manual,33
Jones Ltd,https://www.gray.biz/,Finance,Accounting Tools,B2C,141,$10M-$50M,2021,C,Gregoryfurt,AZ,(240)005-3074,http://campbell-morrow.biz/,Travis,Gordon,Electrical engineer,https://jacobs.com/,+1-830-019-5084x4943,,scraped,20
"Warren, Blankenship and Clark",http://gibson-hickman.org/,Retail,Custom Software,B2C,594,$10M-$50M,2010,NR,Fullerport,AR,001-026-299-1163x8293,https://warren.com/,Arthur,Smith,Information officer,https://www.black.info/,(978)130-6215,,scraped,25
"Gordon, Preston and Stevens",https://www.newman.org/,Software Development,Accounting Tools,B2C,401,$10M-$50M,1990,NR,East Laurenmouth,TN,586.843.7572x8160,http://www.taylor.com/,Cindy,Bennett,"Scientist, audiological",https://www.fry-white.com/,001-391-573-2639x9187,wjackson@yahoo.com,manual,45
Goodwin-Anderson,http://www.dunlap.com/,Healthcare,EHR Systems,B2B,395,$10M-$50M,2005,A,Fergusontown,UT,001-555-335-7003x1367,http://www.fisher-rodriguez.com/,Robert,Livingston,Tax adviser,https://www.carroll-mclaughlin.com/,001-078-758-8369x42495,,scraped,43
"Davis, Moore and Bright",http://lindsey.com/,Healthcare,e-Learning,B2B,418,$50M+,1998,NR,Frazierland,ME,497.433.1729x071,,Claire,Williams,"Scientist, research (maths)",,001-847-768-4290x47492,,scraped,20
White LLC,https://www.bentley.com/,Healthcare,Mobile Apps,B2B,204,$10M-$50M,1992,B,West Jasonfurt,KS,760.354.3625x32588,https://www.allen-ramirez.com/,Christine,Guzman,"Engineer, mining",http://www.davidson-skinner.info/,001-391-387-8021x2254,ericmeadows@taylor-henry.com,scraped,40
Clark-Nelson,https://rivera.com/,Real Estate,Accounting Tools,B2C,656,$500K-$1M,2020,A,Kellybury,MT,0689433702,https://www.small.com/,Jennifer,Beck,"Production designer, theatre/television/film",https://fischer.org/,+1-607-624-0093x99316,,scraped,18
"Jones, Walton and Simmons",https://mcmahon.biz/,Real Estate,e-Learning,B2B2C,258,$50M+,2018,C,Riggsport,IN,001-115-346-0829x921,https://stark.net/,Kimberly,Anderson,Agricultural consultant,https://lee.com/,008.392.3005x57813,,scraped,15
"Gonzalez, Sherman and Porter",https://bradshaw.com/,Finance,e-Learning,B2C,804,$500K-$1M,1997,B,Port Jamie,MD,(339)040-2577x949,https://obrien.org/,Patrick,Jenkins,Aid worker,https://rogers.info/,+1-420-758-2205x948,,scraped,15
"Decker, Webb and Gregory",https://www.smith.biz/,Real Estate,EHR Systems,B2C,116,$50M+,2000,C,Nicholaschester,MO,451-991-6298,https://www.hardin-gonzalez.com/,Jeremy,Simmons,Market researcher,http://www.harris.info/,001-259-321-4197x84755,,scraped,15
"Reed, Mitchell and Long",https://yoder.biz/,Finance,e-Learning,B2B,635,$10M-$50M,2004,A+,Port Christopher,OK,607.017.8746x0808,,Peter,Watson,Commercial/residential surveyor,,+1-970-965-2380x223,,scraped,40
"Murphy, Smith and Riley",http://wood.com/,Software Development,EHR Systems,B2C,680,$1M-$10M,2016,C,West Christopher,IA,(942)093-8025x4302,https://www.roman.com/,Kathleen,Padilla,"Surveyor, rural practice",https://clark.net/,(532)253-8578x826,,scraped,35
"Roberts, Paul and Hernandez",http://www.cooper.com/,Retail,EHR Systems,B2B,246,$50M+,2018,C,East Deborah,AZ,817.074.3398x9140,,Adam,Sellers,Tree surgeon,,+1-270-153-9267x14723,,scraped,20
Gordon Inc,http://kennedy.com/,Software Development,e-Learning,B2C,173,$50M+,1997,A+,Jamesfort,OH,001-486-919-0843x043,,Samantha,George,Horticultural therapist,,+1-900-683-3279x0039,,scraped,30
Walker PLC,http://snyder.biz/,Retail,Mobile Apps,B2B,580,$10M-$50M,2016,A+,Granttown,OH,110-312-9597,http://www.weeks.com/,Emily,Rios,Legal secretary,http://www.griffin.com/,(006)574-9807x1704,bowmanjohn@campbell.com,scraped,50
"Underwood, Gilbert and Mathis",https://www.roberts.net/,Software Development,e-Learning,B2B2C,345,$500K-$1M,2010,A+,Matthewland,FL,+1-864-499-2339x14668,,Robert,Jacobs,Health service manager,,543.255.2315x842,dorothy59@hotmail.com,manual,40
Baker PLC,http://www.bryant.com/,Finance,Custom Software,B2B2C,149,$1M-$10M,1998,A,Cynthiatown,CA,005.498.7710,,Jennifer,Collins,Telecommunications researcher,,001-537-049-1032,donald06@booth.org,scraped,33
Hansen and Sons,http://tucker.org/,Finance,CRM,B2B2C,489,$1M-$10M,2002,NR,Robertberg,SC,(400)812-8584x9088,https://www.adams.org/,Sabrina,West,Patent attorney,http://www.gonzalez.info/,(316)031-2026x0488,,scraped,25
